iter	RMSE
158	41050.21725
159	41010.43413
160	40983.67379
161	40959.84774
162	40933.30084
163	40913.19113
164	40869.53197
165	40822.03915
166	40805.12504
167	40785.10155
168	40760.72219
169	40727.82419
170	40688.23455
171	40624.92582
172	40599.38092
173	40572.97857
174	40553.25044
175	40518.49731
176	40476.14094
177	40438.11173
178	40416.83138
179	40335.72032
180	40313.14156
181	40295.13335
182	40212.69767
183	40193.07037
184	40176.72111
185	40155.37353
186	40128.7984
187	40087.31863
188	40073.08363
189	40023.4796
190	40008.00654
191	39993.99855
192	39974.02834
193	39953.28974
194	39938.04809
195	39855.43315
196	39836.31344
197	39817.57837
198	39786.82557
199	39737.08299
200	39707.50178
201	39691.95042
202	39664.42686
203	39650.99155
204	39637.51453
205	39614.68349
206	39600.31987
207	39582.96577
208	39526.18567
209	39513.46465
210	39497.19486
211	39482.76023
212	39468.1285
213	39426.26417
214	39412.14472
215	39396.64524
216	39379.5635
217	39355.45647
218	39342.61293
219	39330.04732
220	39291.04765
221	39231.19109
222	39214.68707
223	39186.86169
224	39126.88617
225	39111.76204
226	39095.8266
227	39085.23863
228	39072.94023
229	39058.2704
230	39038.5208
231	39020.42991
232	39007.05633
233	38973.47222
234	38941.07111
235	38925.28436
236	38907.76892
237	38892.18445
238	38879.30255
239	38852.44833
240	38803.91138
241	38790.00032
242	38776.57578
243	38762.4443
244	38753.16303
245	38743.6242
246	38716.69898
247	38702.45588
248	38690.13132
249	38679.68842
250	38667.57733
251	38649.36496
252	38631.06455
253	38619.02452
254	38608.19983
255	38564.91648
256	38546.58873
257	38534.16922
258	38520.14701
259	38510.89952
260	38494.23243
261	38485.54954
262	38457.14693
263	38447.7567
264	38429.62034
265	38382.73677
266	38371.4019
267	38360.12429
268	38352.09998
269	38340.7526
270	38328.5166
271	38317.65643
272	38307.28141
273	38296.77595
274	38274.43193
275	38267.38756
276	38243.614
277	38230.86568
278	38209.9135
279	38199.38184
280	38191.87005
281	38184.48572
282	38166.34094
283	38128.47931
284	38116.82043
285	38103.86252
286	38091.83955
287	38081.57675
288	38070.32369
289	38061.50506
290	38051.24506
291	38042.02098
292	38030.9428
293	38019.4706
294	38005.53281
295	37987.59578
296	37972.6754
297	37965.45061
298	37947.48049
299	37939.86823
300	37895.20721
301	37859.81942
302	37847.32848
303	37836.70172
304	37824.15126
305	37810.70946
306	37800.94898
307	37792.21572
308	37773.7507
309	37745.04685
310	37725.96677
311	37692.07789
312	37668.1406
313	37649.77636
314	37640.05036
315	37604.32264
316	37587.22882
317	37576.42845
318	37555.52919
319	37546.59629
320	37539.1232
321	37532.07415
322	37523.84754
323	37516.34817
324	37505.35195
325	37490.74319
326	37471.17102
327	37447.0641
328	37435.99575
329	37418.13113
330	37412.20087
331	37394.13073
332	37375.81983
333	37360.78901
334	37351.36981
335	37343.11748
336	37333.31865
337	37327.59133
338	37316.90799
339	37309.61199
340	37303.04755
341	37288.26506
342	37280.64877
343	37268.94751
344	37263.0889
345	37251.88677
346	37245.41265
347	37237.74579
348	37223.81017
349	37206.76501
350	37192.8912
351	37179.80873
352	37164.07822
353	37156.49938
354	37146.95366
355	37139.18965
356	37130.4295
357	37120.90013
358	37112.65054
359	37097.34375
360	37067.86906
361	37062.69969
362	37054.76385
363	37042.24247
364	37033.80208
365	37013.38522
366	37006.59003
367	36999.40118
368	36987.66151
369	36966.56336
370	36941.41602
371	36935.98635
372	36925.92713
373	36919.96007
374	36911.56728
375	36899.93889
376	36888.43219
377	36879.08313
378	36871.81936
379	36859.53701
380	36846.08114
381	36824.20981
382	36809.44332
383	36802.35466
384	36796.73267
385	36790.01397
386	36781.16516
387	36770.37487
388	36759.91125
389	36753.14041
390	36745.46181
391	36732.22433
392	36724.97163
393	36719.62275
394	36709.61692
395	36702.42312
396	36687.94729
397	36677.11449
398	36664.53167
399	36655.82984
400	36632.1624
401	36629.87923
402	36618.80132
403	36608.78963
404	36600.27863
405	36591.22765
406	36585.90246
407	36573.60574
408	36566.3959
409	36559.01603
410	36548.20184
411	36541.00237
412	36520.55376
413	36515.17323
414	36505.16261
415	36496.28305
416	36489.26154
417	36477.82921
418	36471.04232
419	36467.05345
420	36455.50414
421	36449.42326
422	36443.26194
423	36437.50855
424	36429.88895
425	36419.72438
426	36409.1683
427	36401.10623
428	36395.4152
429	36392.47808
430	36382.63743
431	36373.06009
432	36365.82858
433	36357.96901
434	36350.82198
435	36341.61183
436	36334.711
437	36326.99769
438	36323.29583
439	36311.47424
440	36300.64751
441	36296.85913
442	36282.34641
443	36277.67158
444	36272.11775
445	36267.14333
446	36256.64595
447	36240.238
448	36233.40522
449	36226.61553
450	36220.7326
451	36209.75365
452	36201.36328
453	36197.27123
454	36183.99636
455	36178.42913
456	36171.76882
457	36169.65385
458	36165.69186
459	36160.23651
460	36149.85335
461	36143.60543
462	36138.14492
463	36132.81108
464	36126.34114
465	36118.91481
466	36111.97139
467	36107.56778
468	36098.82461
469	36091.50318
470	36079.44003
471	36075.23648
472	36069.04956
473	36058.51376
474	36048.77293
475	36041.49136
476	36035.41448
477	36029.85246
478	36022.04959
479	36008.72023
480	36004.81448
481	35996.03966
482	35985.86367
483	35972.3415
484	35965.66822
485	35958.65858
486	35950.74733
487	35947.13442
488	35937.83256
489	35932.83823
490	35916.46722
491	35910.67173
492	35902.01282
493	35895.63111
494	35887.0014
495	35881.0629
496	35874.17978
497	35870.28291
498	35864.20018
499	35858.84148
500	35855.58951
501	35848.45901
502	35841.64832
503	35835.75244
504	35831.95924
505	35821.81802
506	35818.93868
507	35810.84998
508	35807.15775
509	35803.92689
510	35792.62509
511	35785.8525
512	35778.05601
513	35769.28461
514	35757.38621
515	35750.29869
516	35745.94557
517	35739.46607
518	35732.18523
519	35719.20188
520	35714.7366
521	35705.83026
522	35703.04273
523	35695.57641
524	35677.88885
525	35669.27822
526	35662.37318
527	35648.41062
528	35645.22792
529	35639.18115
530	35633.52569
531	35629.23852
532	35621.73379
533	35606.30799
534	35596.52766
535	35588.82397
536	35573.89109
537	35566.3461
538	35563.72293
539	35554.54338
540	35546.2146
541	35538.62395
542	35529.91061
543	35519.48573
544	35506.27212
545	35501.93309
546	35495.66856
547	35489.16583
548	35487.75113
549	35478.08889
550	35470.85418
551	35466.29245
552	35456.45049
553	35450.75136
554	35444.68843
555	35439.37752
556	35427.89767
557	35419.54744
558	35414.14388
559	35409.33379
560	35400.20348
561	35395.67471
562	35391.54616
563	35387.14399
564	35379.73475
565	35378.84948
566	35374.43549
567	35373.1974
568	35367.21395
569	35360.09657
570	35350.925
571	35342.14142
572	35336.38568
573	35333.75706
574	35321.8549
575	35311.69307
576	35304.90367
577	35295.52805
578	35289.92087
579	35284.31875
580	35279.90876
581	35271.99401
582	35268.81231
583	35261.1786
584	35255.13174
585	35250.03438
586	35240.2315
587	35236.18423
588	35230.85143
589	35225.77361
590	35218.33997
591	35212.05896
592	35204.26209
593	35191.01437
594	35179.49843
595	35167.19034
596	35165.84497
597	35155.24344
598	35149.93293
599	35148.14881
600	35137.3493
601	35131.06091
602	35121.78002
603	35115.30325
604	35108.35461
605	35106.52538
606	35104.9367
607	35101.33161
608	35094.21602
609	35087.84555
610	35081.76054
611	35075.69814
612	35071.64427
613	35056.8229
614	35049.99437
615	35041.62284
616	35038.10669
617	35036.56751
618	35030.0796
619	35023.15424
620	35020.90999
621	35018.1816
622	35010.84251
623	35007.63096
624	35006.00649
625	35003.8994
626	35000.84616
627	34999.68202
628	34996.58077
629	34988.76781
630	34979.69901
631	34973.60944
632	34969.10908
633	34962.31743
634	34959.29631
635	34955.65869
636	34947.76251
637	34936.51578
638	34931.79124
639	34923.11921
640	34919.04954
641	34915.62313
642	34906.31539
643	34900.49807
644	34887.91929
645	34881.57471
646	34879.07138
647	34869.98236
648	34861.4803
649	34859.21031
650	34852.31786
651	34845.70518
652	34837.98448
653	34836.75006
654	34832.70306
655	34827.48084
656	34817.63612
657	34811.91813
658	34807.54355
659	34797.55644
660	34788.94522
661	34786.4987
662	34780.55295
663	34778.57777
664	34775.91705
665	34768.38611
666	34764.30878
667	34758.01579
668	34752.55366
669	34746.1151
670	34744.71157
671	34739.92716
672	34732.68592
673	34730.97892
674	34729.66761
675	34721.88955
676	34716.31379
677	34708.19771
678	34704.10448
679	34698.22198
680	34696.24824
681	34689.21281
682	34686.83933
683	34677.93077
684	34670.28544
685	34661.69526
686	34658.55633
687	34650.82119
688	34641.87127
689	34634.61167
690	34630.27412
691	34621.86729
692	34616.34713
693	34609.5089
694	34606.09314
695	34600.1187
696	34593.56399
697	34583.70313
698	34582.32036
699	34576.13411
700	34571.22489
701	34563.72555
702	34558.44293
703	34553.63427
704	34549.71572
705	34538.25026
706	34529.9926
707	34521.02329
708	34514.50203
709	34505.0474
710	34495.06796
711	34490.45688
712	34485.02807
713	34479.03965
714	34472.49611
715	34468.55696
716	34462.73411
717	34455.17372
718	34444.19723
719	34437.94074
720	34434.77262
721	34430.86193
722	34420.82707
723	34413.23444
724	34408.439
725	34405.60953
726	34397.32279
727	34396.79815
728	34390.23557
729	34383.69701
730	34379.76307
731	34372.09025
732	34361.6329
733	34356.58101
734	34353.89609
735	34345.9784
736	34341.6217
737	34335.34797
738	34329.95845
739	34321.56486
740	34320.04543
741	34307.65302
742	34300.84157
743	34293.24139
744	34288.48449
745	34283.82807
746	34275.31367
747	34272.20002
748	34269.16072
749	34263.64794
750	34258.54091
751	34252.88497
752	34246.97108
753	34242.48509
754	34240.87058
755	34237.95241
756	34234.22018
757	34226.97237
758	34224.6911
759	34222.39824
760	34217.1641
761	34214.89186
762	34209.61758
763	34205.74075
764	34200.20281
765	34194.52676
766	34187.7653
767	34181.3625
768	34175.7386
769	34171.44356
770	34169.87177
771	34157.54346
772	34152.14186
773	34147.55166
774	34143.86813
775	34138.89194
776	34133.13895
777	34126.71924
778	34118.61981
779	34116.8765
780	34111.67289
781	34105.13452
782	34098.6657
783	34091.07951
784	34083.74578
785	34077.78145
786	34074.99832
787	34069.60427
788	34067.46457
789	34063.76838
790	34057.10873
791	34049.70076
792	34043.35873
793	34036.12755
794	34034.43885
795	34027.22769
796	34021.34671
797	34020.1036
798	34018.2218
799	34011.4012
800	34004.5641
801	33999.33261
802	33996.14442
803	33991.7032
804	33983.67406
805	33977.61
806	33971.951
807	33964.6461
808	33956.98359
809	33955.53511
810	33949.94123
811	33944.80737
812	33940.94654
813	33932.66131
814	33929.39804
815	33922.94874
816	33916.52765
817	33909.09931
818	33905.16265
819	33899.30048
820	33891.71418
821	33886.78101
822	33880.58096
823	33874.59299
824	33866.66273
825	33860.12296
826	33856.81559
827	33848.07561
828	33845.55462
829	33838.43163
830	33832.74068
831	33830.45783
832	33828.07084
833	33823.62889
834	33818.21246
835	33807.31804
836	33802.54347
837	33795.99302
838	33789.65849
839	33783.61035
840	33779.27726
841	33771.64256
842	33766.87363
843	33761.49938
844	33757.05208
845	33749.29341
846	33745.79669
847	33743.43433
848	33739.39051
849	33736.4092
850	33731.16127
851	33721.46494
852	33719.2828
853	33715.49506
854	33706.10126
855	33699.84999
856	33693.84593
857	33686.68432
858	33679.41
859	33672.81159
860	33666.00444
861	33658.75293
862	33654.43387
863	33649.35785
864	33638.34452
865	33633.35374
866	33628.85665
867	33624.0482
868	33619.51781
869	33613.25694
870	33605.98514
871	33603.21624
872	33598.22587
873	33593.46015
874	33582.9535
875	33578.08598
876	33574.37358
877	33564.61077
878	33560.16615
879	33552.65813
880	33547.01481
881	33544.48272
882	33538.46775
883	33532.91848
884	33528.07386
885	33523.1565
886	33519.41352
887	33512.49938
888	33506.232
889	33496.35369
890	33492.34201
891	33485.97156
892	33480.95867
893	33472.40825
894	33465.18463
895	33459.6128
896	33451.35046
897	33445.90239
898	33444.31556
899	33441.22701
900	33436.4425
901	33430.63385
902	33424.42157
903	33416.44104
904	33410.69188
905	33405.2159
906	33400.71776
907	33395.84025
908	33390.6056
909	33385.40384
910	33377.47436
911	33373.1136
912	33368.30519
913	33364.4725
914	33360.88664
915	33354.61675
916	33349.49177
917	33343.272
918	33336.52244
919	33333.74096
920	33326.08177
921	33318.50553
922	33310.89175
923	33309.07383
924	33305.24482
925	33300.16551
926	33297.20037
927	33292.55232
928	33287.05112
929	33281.60491
930	33278.48999
931	33274.45917
932	33268.20574
933	33260.11407
934	33255.13933
935	33252.17184
936	33242.44108
937	33235.70652
938	33230.3121
939	33223.49905
940	33217.97157
941	33211.08563
942	33207.11736
943	33203.63843
944	33198.42718
945	33195.57762
946	33187.91653
947	33182.03368
948	33175.72622
949	33173.21495
950	33168.47047
951	33166.97102
952	33158.71303
953	33156.93308
954	33153.40432
955	33147.95591
956	33141.27414
957	33136.23596
958	33132.20187
959	33127.70925
960	33120.41268
961	33116.37677
962	33115.69501
963	33112.13795
964	33106.56853
965	33105.08336
966	33097.6703
967	33092.89379
968	33087.39749
969	33084.57869
970	33082.15168
971	33078.75786
972	33075.7196
973	33070.20052
974	33066.97919
975	33062.93571
976	33056.44658
977	33054.09347
978	33048.72269
979	33042.18342
980	33037.4029
981	33036.5491
982	33033.83955
983	33027.87057
984	33022.32215
985	33016.21945
986	33011.29065
987	33005.97054
988	33001.2697
989	32998.27572
990	32993.22254
991	32988.53664
992	32975.58578
993	32968.88834
994	32966.77429
995	32960.58932
996	32954.66565
997	32947.25905
998	32945.42198
999	32940.14864
